Card Name,Number of Sales,AVERAGE of Sale Price
Magic - Adventures in the Forgotten Realms: Wight - #127 - R - Near Mint,1,$0.15
Magic - Adventures in the Forgotten Realms: Warlock Class - #125 - U - Near Mint,1,$0.05
Magic - Adventures in the Forgotten Realms: Vorpal Sword - #124 - R - Near Mint,1,$0.93
Magic - Adventures in the Forgotten Realms: Veteran Dungeoneer - #40 - C - Near Mint,1,$0.25
Magic - Adventures in the Forgotten Realms: Temple of the Dragon Queen (Dungeon Module) - #357 - U - Near Mint,1,$0.26
Magic - Adventures in the Forgotten Realms: Teleportation Circle - #39 - R - Near Mint,1,$3.25
Magic - Adventures in the Forgotten Realms: Secret Door - #71 - C - Near Mint,1,$0.01
"Magic - Adventures in the Forgotten Realms: Scaled Herbalist - #204 - C
- Near Mint",1,$0.02
Magic - Adventures in the Forgotten Realms: Reaper's Talisman - #117 - U - Near Mint,1,$0.05
Magic - Adventures in the Forgotten Realms: Ranger Class - #202 - R - Near Mint,1,$0.25
Magic - Adventures in the Forgotten Realms: Paladin Class - #29 - R - Near Mint,1,$0.38
"Magic - Adventures in the Forgotten Realms: Oswald Fiddlebender - #28
- R - Near Mint",1,$1.49
Magic - Adventures in the Forgotten Realms: Orb of Dragonkind - #157 - R - Near Mint,1,$1.35
Magic - Adventures in the Forgotten Realms: Iron Golem - #247 - U - Near Mint,1,$0.01
Magic - Adventures in the Forgotten Realms: Hobgoblin Captain - #148 - C - Near Mint,1,$0.01
"Magic - Adventures in the Forgotten Realms: Guardian of Faith - #18 - R
- Near Mint",1,$1.90
Magic - Adventures in the Forgotten Realms: Green Dragon - #186 - U - Near Mint,1,$0.04
Magic - Adventures in the Forgotten Realms: Grand Master of Flowers (Borderless) - #282 - M - Near Mint,1,$0.69
Magic - Adventures in the Forgotten Realms: Flumph - #15 - R - Near Mint,1,$0.44
Magic - Adventures in the Forgotten Realms: Fighter Class - #222 - R - Near Mint,1,$0.75
Magic - Adventures in the Forgotten Realms: Fifty Feet of Rope - #244 - U - Near Mint,1,$0.01
Magic - Adventures in the Forgotten Realms: Feign Death - #103 - C - Near Mint,1,$0.51
Magic - Adventures in the Forgotten Realms: Eye of Vecna - #243 - R - Near Mint,1,$0.33
Magic - Adventures in the Forgotten Realms: Evolving Wilds - #256 - C - Near Mint,1,$0.05
"Magic - Adventures in the Forgotten Realms: Ebondeath, Dracolich - #100 - M - Near Mint",1,$2.50
Magic - Adventures in the Forgotten Realms: Dungeon Descent - #255 - R - Near Mint,1,$0.18
Magic - Adventures in the Forgotten Realms: Druid Class - #180 - U - Near Mint,1,$0.78
Magic - Adventures in the Forgotten Realms: Dragon's Fire - #139 - C - Near Mint,1,$0.05
Magic - Adventures in the Forgotten Realms: Dragon Turtle - #56 - R - Near Mint,1,$0.24
Magic - Adventures in the Forgotten Realms: Den of the Bugbear (Dungeon Module) - #351 - R - Near Mint,1,$7.22
Magic - Adventures in the Forgotten Realms: Deadly Dispute - #94 - C - Near Mint,1,$0.90
Magic - Adventures in the Forgotten Realms: Critical Hit - #137 - U - Near Mint,1,$0.07
Magic - Adventures in the Forgotten Realms: Cleric Class - #6 - U - Near Mint Foil,1,$1.51
Magic - Adventures in the Forgotten Realms: Burning Hands - #135 - U - Near Mint,1,$0.03
Magic - Adventures in the Forgotten Realms: Asmodeus the Archfiend - #88 - R - Near Mint,1,$0.20
Magic - 10th Edition: Soul Warden - #44 - U - Near Mint,1,$1.33
Magic - 10th Edition: Scalpelexis - #105 - R - Lightly Played,1,$0.18
Magic - 10th Edition: Mogg Fanatic - #219 - U - Damaged,1,$0.05
Magic - 10th Edition: Lord of the Undead - #155 - R - Near Mint Lord of the Undead,1,$23.00
Magic - 10th Edition: Denizen of the Deep - #80 - Lightly Played,1,$0.18
Magic - 10th Edition: Aura of Silence - #6 - U - Near Mint,1,$5.44
Lightning Strike,1,$0.02
Knight of the Holy Nimbus,1,$0.10
Invoke the Winds,1,$0.04
Harrow,1,$0.25
Errant Doomsayers,1,$0.02
Dragon's Fire,1,$0.05
Amoeboid Changeling,1,$1.50
"""Magic - Kamigawa: Neon Dynasty: Island (296) - JP Full Art - #296 - L
- Near Mint Foil""",1,$2.53
"""Magic - Dominaria United: Queen Allenal of Ruadach (Textured Foil)
- #350 - U - Lightly Played Foil""",1,$0.49
"""Magic - Adventures in the Forgotten Realms: Plundering Barbarian - #158
- C - Near Mint""",1,$0.02
,0,#DIV/0!
Grand Total,533,$1.04
